name,category,filename,description,prompt_midjourney,prompt_dalle
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Maze,maze,maze.jpg,"This is part of a maze of twisty little passages, all alike.","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is part of a maze of twisty little passages, all alike., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Cyclops Room,other,cyclops-room.jpg,A mysterious location known as Cyclops Room,"A mysterious location known as Cyclops Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Cyclops Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Strange Passage,maze,strange-passage.jpg,"This is a long passage. To the west is one entrance. On the east there is an old wooden door, with a large opening in it (about cyclops sized).","This is a long passage. To the west is one entrance. On the east there is an old wooden door, with a large opening in it (about cyclops sized)., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a long passage. To the west is one entrance. On the east there is an old wooden door, with a large opening in it (about cyclops sized)., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Treasure Room,other,treasure-room.jpg,"This is a large room, whose east wall is solid granite. A number of discarded bags, which crumble at your touch, are scattered about on the floor. There is an exit down a staircase.","This is a large room, whose east wall is solid granite. A number of discarded bags, which crumble at your touch, are scattered about on the floor. There is an exit down a staircase., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a large room, whose east wall is solid granite. A number of discarded bags, which crumble at your touch, are scattered about on the floor. There is an exit down a staircase., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Reservoir South,water,reservoir-south.jpg,A mysterious location known as Reservoir South,"A mysterious location known as Reservoir South, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Reservoir South, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Reservoir,water,reservoir.jpg,A mysterious location known as Reservoir,"A mysterious location known as Reservoir, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Reservoir, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Reservoir North,water,reservoir-north.jpg,A mysterious location known as Reservoir North,"A mysterious location known as Reservoir North, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Reservoir North, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Stream View,water,stream-view.jpg,"You are standing on a path beside a gently flowing stream. The path follows the stream, which flows from west to east.","You are standing on a path beside a gently flowing stream. The path follows the stream, which flows from west to east., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You are standing on a path beside a gently flowing stream. The path follows the stream, which flows from west to east., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Stream,water,stream.jpg,"You are on the gently flowing stream. The upstream route is too narrow to navigate, and the downstream route is invisible due to twisting walls. There is a narrow beach to land on.","You are on the gently flowing stream. The upstream route is too narrow to navigate, and the downstream route is invisible due to twisting walls. There is a narrow beach to land on., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You are on the gently flowing stream. The upstream route is too narrow to navigate, and the downstream route is invisible due to twisting walls. There is a narrow beach to land on., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Mirror Room,other,mirror-room.jpg,A mysterious location known as Mirror Room,"A mysterious location known as Mirror Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Mirror Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Mirror Room,other,mirror-room.jpg,A mysterious location known as Mirror Room,"A mysterious location known as Mirror Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Mirror Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Cave,dungeon,cave.jpg,"This is a tiny cave with entrances west and north, and a staircase leading down.","This is a tiny cave with entrances west and north, and a staircase leading down., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a tiny cave with entrances west and north, and a staircase leading down., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Cave,dungeon,cave.jpg,"This is a tiny cave with entrances west and north, and a dark, forbidding staircase leading down.","This is a tiny cave with entrances west and north, and a dark, forbidding staircase leading down., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a tiny cave with entrances west and north, and a dark, forbidding staircase leading down., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Cold Passage,maze,cold-passage.jpg,This is a cold and damp corridor where a long east-west passageway turns into a southward path.,"This is a cold and damp corridor where a long east-west passageway turns into a southward path., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a cold and damp corridor where a long east-west passageway turns into a southward path., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Narrow Passage,maze,narrow-passage.jpg,This is a long and narrow corridor where a long north-south passageway briefly narrows even further.,"This is a long and narrow corridor where a long north-south passageway briefly narrows even further., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a long and narrow corridor where a long north-south passageway briefly narrows even further., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Winding Passage,maze,winding-passage.jpg,This is a winding passage. It seems that there are only exits on the east and north.,"This is a winding passage. It seems that there are only exits on the east and north., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a winding passage. It seems that there are only exits on the east and north., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Twisting Passage,maze,twisting-passage.jpg,This is a winding passage. It seems that there are only exits on the east and north.,"This is a winding passage. It seems that there are only exits on the east and north., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a winding passage. It seems that there are only exits on the east and north., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Atlantis Room,other,atlantis-room.jpg,"This is an ancient room, long under water. There is an exit to the south and a staircase leading up.","This is an ancient room, long under water. There is an exit to the south and a staircase leading up., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is an ancient room, long under water. There is an exit to the south and a staircase leading up., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
East-West Passage,maze,east-west-passage.jpg,This is a narrow east-west passageway. There is a narrow stairway leading down at the north end of the room.,"This is a narrow east-west passageway. There is a narrow stairway leading down at the north end of the room., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a narrow east-west passageway. There is a narrow stairway leading down at the north end of the room., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Round Room,dungeon,round-room.jpg,This is a circular stone room with passages in all directions. Several of them have unfortunately been blocked by cave-ins.,"This is a circular stone room with passages in all directions. Several of them have unfortunately been blocked by cave-ins., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a circular stone room with passages in all directions. Several of them have unfortunately been blocked by cave-ins., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Deep Canyon,other,deep-canyon.jpg,A mysterious location known as Deep Canyon,"A mysterious location known as Deep Canyon, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Deep Canyon, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Damp Cave,water,damp-cave.jpg,"This cave has exits to the west and east, and narrows to a crack toward the south. The earth is particularly damp here.","This cave has exits to the west and east, and narrows to a crack toward the south. The earth is particularly damp here., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This cave has exits to the west and east, and narrows to a crack toward the south. The earth is particularly damp here., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Loud Room,other,loud-room.jpg,A mysterious location known as Loud Room,"A mysterious location known as Loud Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Loud Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
North-South Passage,maze,north-south-passage.jpg,"This is a high north-south passage, which forks to the northeast.","This is a high north-south passage, which forks to the northeast., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a high north-south passage, which forks to the northeast., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Chasm,other,chasm.jpg,"A chasm runs southwest to northeast and the path follows it. You are on the south side of the chasm, where a crack opens into a passage.","A chasm runs southwest to northeast and the path follows it. You are on the south side of the chasm, where a crack opens into a passage., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A chasm runs southwest to northeast and the path follows it. You are on the south side of the chasm, where a crack opens into a passage., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Entrance to Hades,other,entrance-to-hades.jpg,A mysterious location known as Entrance to Hades,"A mysterious location known as Entrance to Hades, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Entrance to Hades, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Land of the Dead,other,land-of-the-dead.jpg,You have entered the Land of the Living Dead. Thousands of lost souls can be heard weeping and moaning. In the corner are stacked the remains of dozens of previous adventurers less fortunate than yourself. A passage exits to the north.,"You have entered the Land of the Living Dead. Thousands of lost souls can be heard weeping and moaning. In the corner are stacked the remains of dozens of previous adventurers less fortunate than yourself. A passage exits to the north., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You have entered the Land of the Living Dead. Thousands of lost souls can be heard weeping and moaning. In the corner are stacked the remains of dozens of previous adventurers less fortunate than yourself. A passage exits to the north., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Engravings Cave,dungeon,engravings-cave.jpg,You have entered a low cave with passages leading northwest and east.,"You have entered a low cave with passages leading northwest and east., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","You have entered a low cave with passages leading northwest and east., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Egyptian Room,other,egyptian-room.jpg,This is a room which looks like an Egyptian tomb. There is an ascending staircase to the west.,"This is a room which looks like an Egyptian tomb. There is an ascending staircase to the west., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is a room which looks like an Egyptian tomb. There is an ascending staircase to the west., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Dome Room,other,dome-room.jpg,A mysterious location known as Dome Room,"A mysterious location known as Dome Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Dome Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Torch Room,other,torch-room.jpg,A mysterious location known as Torch Room,"A mysterious location known as Torch Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Torch Room, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Temple,temple,temple.jpg,"This is the north end of a large temple. On the east wall is an ancient inscription, probably a prayer in a long-forgotten language. Below the prayer is a staircase leading down. The west wall is solid granite. The exit to the north end of the room is through huge marble pillars.","This is the north end of a large temple. On the east wall is an ancient inscription, probably a prayer in a long-forgotten language. Below the prayer is a staircase leading down. The west wall is solid granite. The exit to the north end of the room is through huge marble pillars., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is the north end of a large temple. On the east wall is an ancient inscription, probably a prayer in a long-forgotten language. Below the prayer is a staircase leading down. The west wall is solid granite. The exit to the north end of the room is through huge marble pillars., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Altar,temple,altar.jpg,This is the south end of a large temple. In front of you is what appears to be an altar. In one corner is a small hole in the floor which leads into darkness. You probably could not get back up it.,"This is the south end of a large temple. In front of you is what appears to be an altar. In one corner is a small hole in the floor which leads into darkness. You probably could not get back up it., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This is the south end of a large temple. In front of you is what appears to be an altar. In one corner is a small hole in the floor which leads into darkness. You probably could not get back up it., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Dam,water,dam.jpg,A mysterious location known as Dam,"A mysterious location known as Dam, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","A mysterious location known as Dam, retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
Dam Lobby,water,dam-lobby.jpg,"This room appears to have been the waiting room for groups touring the dam. There are open doorways here to the north and east marked \""Private\"", and there is a path leading south over the top of the dam.","This room appears to have been the waiting room for groups touring the dam. There are open doorways here to the north and east marked \""Private\"", and there is a path leading south over the top of the dam., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition --ar 4:3 --s 400","This room appears to have been the waiting room for groups touring the dam. There are open doorways here to the north and east marked \""Private\"", and there is a path leading south over the top of the dam., retro 1980s fantasy RPG illustration, hand-painted style, reminiscent of classic Dungeons & Dragons adventure module artwork, rich colors, atmospheric lighting, fantastical and mysterious mood, vintage tabletop game aesthetic, painted by artists like Larry Elmore or Keith Parkinson, slight paper texture, adventurous composition"
